Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
331,320,CC,1,9,32.85,23368.4233921392,17880.4169198376,289,2290.49507224167,21077.9283198975,15589.9218475959
331,321,CC,1,10,18.65,23368.4233921392,18364.1172559642,289,2290.49507224167,21077.9283198975,16073.6221837226
331,324,CC,1,11,11.11,23368.4233921392,19858.0511356425,289,2290.49507224167,21077.9283198975,17567.5560634008
331,326,CC,1,12,3.43,23368.4233921392,20846.1730402358,289,2290.49507224167,21077.9283198975,18555.6779679941
298,290,CC,2,1,2.59,6876.89293473917,2802.73848428667,288,1782.212276865,5094.68065787417,1020.52620742167
300,290,CC,2,1,4.29,7847.70219218417,2802.73848428667,288,1782.212276865,6065.48991531917,1020.52620742167
303,290,CC,2,1,10.09,9343.01213111751,2802.73848428667,288,1782.212276865,7560.79985425251,1020.52620742167
305,290,CC,2,1,15.2,10339.4587977758,2802.73848428667,288,1782.212276865,8557.24652091082,1020.52620742167
307,290,CC,2,1,19.12,11352.5835348158,2802.73848428667,288,1782.212276865,9570.3712579508,1020.52620742167
310,290,CC,2,1,24.62,12828.4880273992,2802.73848428667,288,1782.212276865,11046.2757505342,1020.52620742167
312,290,CC,2,1,24.05,13822.6696153242,2802.73848428667,288,1782.212276865,12040.4573384592,1020.52620742167
315,290,CC,2,1,24.86,15334.8716263725,2802.73848428667,288,1782.212276865,13552.6593495075,1020.52620742167
317,290,CC,2,1,25.72,16361.6030911408,2802.73848428667,288,1782.212276865,14579.3908142758,1020.52620742167
298,295,CC,2,2,1.59,6876.89293473917,5358.59704401583,288,1782.212276865,5094.68065787417,3576.38476715083
300,295,CC,2,2,4.21,7847.70219218417,5358.59704401583,288,1782.212276865,6065.48991531917,3576.38476715083
303,295,CC,2,2,7.32,9343.01213111751,5358.59704401583,288,1782.212276865,7560.79985425251,3576.38476715083
305,295,CC,2,2,9.6,10339.4587977758,5358.59704401583,288,1782.212276865,8557.24652091082,3576.38476715083
307,295,CC,2,2,10.71,11352.5835348158,5358.59704401583,288,1782.212276865,9570.3712579508,3576.38476715083
310,295,CC,2,2,13.47,12828.4880273992,5358.59704401583,288,1782.212276865,11046.2757505342,3576.38476715083
312,295,CC,2,2,12.46,13822.6696153242,5358.59704401583,288,1782.212276865,12040.4573384592,3576.38476715083
315,295,CC,2,2,13.25,15334.8716263725,5358.59704401583,288,1782.212276865,13552.6593495075,3576.38476715083
317,295,CC,2,2,11.9,16361.6030911408,5358.59704401583,288,1782.212276865,14579.3908142758,3576.38476715083
303,297,CC,2,3,4.01,9343.01213111751,6369.36911159583,288,1782.212276865,7560.79985425251,4587.15683473083
305,297,CC,2,3,9.34,10339.4587977758,6369.36911159583,288,1782.212276865,8557.24652091082,4587.15683473083
307,297,CC,2,3,13.6,11352.5835348158,6369.36911159583,288,1782.212276865,9570.3712579508,4587.15683473083
310,297,CC,2,3,22.56,12828.4880273992,6369.36911159583,288,1782.212276865,11046.2757505342,4587.15683473083
312,297,CC,2,3,29.61,13822.6696153242,6369.36911159583,288,1782.212276865,12040.4573384592,4587.15683473083
315,297,CC,2,3,27.04,15334.8716263725,6369.36911159583,288,1782.212276865,13552.6593495075,4587.15683473083
