jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
288	17	0.85	20	1.108035482	0	500	24	1.108035482	83.84645107	380	20	20	20	10	1	-999	-999
288	17.5	0.85	20	1.119578189	0	500	24	1.119578189	83.83311883	380	20	20	20	10	1	-999	-999
288	18	0.85	20	1.108035482	0	500	24	1.108035482	83.83311883	380	20	20	20	10	1	-999	-999
288	18.5	0.85	20	1.163461958	0	500	24	1.163461958	83.81978659	380	20	20	20	10	1	-999	-999
288	19	0.85	20	0.982069054	0	500	24	0.982069054	83.81978659	380	20	20	20	10	1	-999	-999
288	19.5	0.85	20	0.960255458	0	500	24	0.960255458	83.85978331	380	20	20	20	10	1	-999	-999
288	20	0.85	20	0.976342704	0	0	24	0.976342704	83.85978331	380	20	20	20	10	1	-999	-999
288	20.5	0.85	20	0.562681854	0	0	24	0.562681854	83.85978331	380	20	20	20	10	1	-999	-999
288	21	0.85	20	0.52516265	0	0	24	0.52516265	83.85978331	380	20	20	20	10	1	-999	-999
288	21.5	0.85	20	0.529687391	0	0	24	0.529687391	83.87311555	380	20	20	20	10	1	-999	-999
288	22	0.85	20	0.552592791	0	0	24	0.552592791	83.87311555	380	20	20	20	10	1	-999	-999
288	22.5	0.85	20	0.586950893	0	0	24	0.586950893	83.87311555	380	20	20	20	10	1	-999	-999
288	23	0.85	20	0.629040977	0	0	24	0.629040977	83.87311555	380	20	20	20	10	1	-999	-999
288	23.5	0.85	20	0.655010558	0	0	24	0.655010558	83.91311227	380	20	20	20	10	1	-999	-999
288	24	0.85	20	0.675209122	0	0	24	0.675209122	83.91311227	380	20	20	20	10	1	-999	-999
289	0.5	0.85	20	0.701178703	0	0	24	0.701178703	83.95310898	380	20	20	20	10	1	-999	-999
289	1	0.85	20	0.715606249	0	0	24	0.715606249	83.95310898	380	20	20	20	10	1	-999	-999
289	1.5	0.85	20	0.738690321	0	0	24	0.738690321	83.93977674	380	20	20	20	10	1	-999	-999
289	2	0.85	20	0.761774394	0	0	24	0.761774394	83.93977674	380	20	20	20	10	1	-999	-999
289	2.5	0.85	20	0.787743975	0	0	24	0.787743975	83.91311227	380	20	20	20	10	1	-999	-999
289	3	0.85	20	0.813713557	0	0	24	0.813713557	83.91311227	380	20	20	20	10	1	-999	-999
289	3.5	0.85	20	0.828141102	0	0	24	0.828141102	83.88644779	380	20	20	20	10	1	-999	-999
289	4	0.85	20	0.842568647	0	0	24	0.842568647	83.88644779	380	20	20	20	10	1	-999	-999
289	4.5	0.85	20	0.86565272	0	0	24	0.86565272	83.88644779	380	20	20	20	10	1	-999	-999
289	5	0.85	20	0.880080265	5	0	24	0.880080265	83.88644779	380	20	20	20	10	1	-999	-999
289	5.5	0.85	20	0.894507811	0	0	24	0.894507811	83.89978003	380	20	20	20	10	1	-999	-999
289	6	0.85	20	0.906049847	0	500	24	0.906049847	83.89978003	380	20	20	20	10	1	-999	-999
289	6.5	0.85	20	1.128294342	0	500	24	1.128294342	83.9264445	380	20	20	20	10	1	-999	-999
289	7	0.85	20	1.14587815	0	500	24	1.14587815	83.9264445	380	20	20	20	10	1	-999	-999
289	7.5	0.85	20	1.139934157	0	500	24	1.139934157	83.95310898	380	20	20	20	10	1	-999	-999
